Variation,n_events,n_unique_steps,loop_like,backtrack
Control,4.358651490245945,3.3859132214744285,0.00840492510002171,0.20770399776695717
Test,4.749462423395334,3.498521664337168,0.013681324588753898,0.27287388452854533
