Variation,sessions,completion_rate,median_time_sec,p90_time_sec,loop_rate,backtrack_rate
Control,32189,0.49961231895295105,156.0,632.0,0.00840492510002171,0.20770399776695717
Test,37136,0.5859853779163531,159.0,655.0,0.013681324588753898,0.27287388452854533
